solid_SIDIS_hgc_chamber  |                root  |       solid_SIDIS_hgc_chamber  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 80*cm 94*cm 265*cm 265*cm 306*cm 406*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_10  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_10  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |210*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_11  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_11  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |222*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_12  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_12  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |234*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_13  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_13  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |246*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_14  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_14  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |258*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_15  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_15  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |270*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_16  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_16  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |282*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_17  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_17  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |294*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_18  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_18  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |306*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_19  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_19  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |318*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_20  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_20  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |330*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_21  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_21  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |342*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_22  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_22  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |354*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_23  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_23  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |366*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_24  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_24  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |378*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_25  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_25  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |390*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_26  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_26  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |402*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_27  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_27  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |414*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_28  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_28  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |426*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_29  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_29  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |438*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_30  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_30  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |450*deg 0.000005*deg 2*counts 80.5*cm 94.5*cm 264.5*cm 264.5*cm 306.056*cm 405.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_window_front_1  |solid_SIDIS_hgc_chamber  |solid_SIDIS_hgc_window_front_1  |                             0*cm 0*cm 306.0215*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |                Tube  |                      80.5*cm 187*cm 0.0215*cm 0*deg 360*deg  |       SL_HGC_kevlar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_window_front_2  |solid_SIDIS_hgc_chamber  |solid_SIDIS_hgc_window_front_2  |                             0*cm 0*cm 306.0495*cm  |                       0*deg 0*deg 0*deg  | CC33CC   |                Tube  |                      80.5*cm 187*cm 0.0065*cm 0*deg 360*deg  |        SL_HGC_mylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_window_back  |solid_SIDIS_hgc_chamber  |   solid_SIDIS_hgc_window_back  |                               0*cm 0*cm 405.95*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |                Tube  |                      94.5*cm 264.5*cm 0.05*cm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_1  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_1  |-24.3480306530777*cm 231.657289557551*cm 342.818444221309*cm  |       ordered: zxy -96*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_2  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_2  |-71.9802109677588*cm 221.532786807893*cm 342.818444221309*cm  |      ordered: zxy -108*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_3  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_3  |-116.466512766112*cm 201.726244712817*cm 342.818444221309*cm  |      ordered: zxy -120*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_4  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_4  |-155.862672489906*cm 173.103303625721*cm 342.818444221309*cm  |      ordered: zxy -132*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_5  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_5  |-188.446890066114*cm 136.914922584225*cm 342.818444221309*cm  |      ordered: zxy -144*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_6  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_6  |-212.795079781923*cm 94.742706434002*cm 342.818444221309*cm  |      ordered: zxy -156*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_7  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_7  |-227.843109622316*cm 48.4297821538319*cm 342.818444221309*cm  |      ordered: zxy -168*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_8  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_8  |-232.93330891432*cm 0.000245416156794105*cm 342.818444221309*cm  |      ordered: zxy -180*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_9  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_9  |-227.843211672058*cm -48.4293020473747*cm 342.818444221309*cm  |      ordered: zxy -192*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_10  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_10  |-212.795279421347*cm -94.7422580363433*cm 342.818444221309*cm  |      ordered: zxy -204*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_11  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_11  |-188.447178570026*cm -136.914525492481*cm 342.818444221309*cm  |      ordered: zxy -216*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_12  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_12  |-155.863037249308*cm -173.102975194695*cm 342.818444221309*cm  |      ordered: zxy -228*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_13  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_13  |-116.466937839278*cm -201.725999296511*cm 342.818444221309*cm  |      ordered: zxy -240*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_14  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_14  |-71.9806777769652*cm -221.53263513217*cm 342.818444221309*cm  |      ordered: zxy -252*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_15  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_15  |-24.3485187965354*cm -231.657238251364*cm 342.818444221309*cm  |      ordered: zxy -264*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_16  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_16  |24.3477865813083*cm -231.657315210259*cm 342.818444221309*cm  |      ordered: zxy -276*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_17  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_17  |71.9799775630358*cm -221.532862645385*cm 342.818444221309*cm  |      ordered: zxy -288*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_18  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_18  |116.466300229335*cm -201.726367420634*cm 342.818444221309*cm  |      ordered: zxy -300*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_19  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_19  |155.862490109946*cm -173.103467840946*cm 342.818444221309*cm  |      ordered: zxy -312*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_20  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_20  |188.446745813844*cm -136.915121129869*cm 342.818444221309*cm  |      ordered: zxy -324*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_21  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_21  |212.794979961856*cm -94.7429306326733*cm 342.818444221309*cm  |      ordered: zxy -336*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_22  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_22  |227.843058597065*cm -48.4300222069799*cm 342.818444221309*cm  |      ordered: zxy -348*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_23  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_23  |232.933308913932*cm -0.000490832313587938*cm 342.818444221309*cm  |      ordered: zxy -360*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_24  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_24  |227.84326269655*cm 48.4290619940657*cm 342.818444221309*cm  |      ordered: zxy -372*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_cone_25  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_25  |212.795379240705*cm 94.7420338373561*cm 342.818444221309*cm  |      ordered: zxy -384*deg 0*deg 65*deg  | 3dff84   |                Cons  |   14.16*cm 14.73*cm 22.04*cm 22.61*cm 18.5*cm 0*deg 360*deg  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
