solid_SIDIS_ec_forwardangle_shower  |                root  |solid_SIDIS_ec_forwardangle_shower  |                                  0*cm 0*cm 440*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                Tube  |                       105*cm 235*cm 21.728*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_46  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_46  |                              0*cm 0*cm -11.536*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_47  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_47  |                              0*cm 0*cm -11.312*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_48  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_48  |                              0*cm 0*cm -11.088*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_49  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_49  |                              0*cm 0*cm -10.864*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_50  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_50  |                               0*cm 0*cm -10.64*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_51  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_51  |                              0*cm 0*cm -10.416*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_52  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_52  |                              0*cm 0*cm -10.192*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_53  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_53  |                               0*cm 0*cm -9.968*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_54  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_54  |                               0*cm 0*cm -9.744*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_55  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_55  |                                0*cm 0*cm -9.52*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_56  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_56  |                               0*cm 0*cm -9.296*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_57  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_57  |                               0*cm 0*cm -9.072*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_58  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_58  |                               0*cm 0*cm -8.848*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_59  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_59  |                               0*cm 0*cm -8.624*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_60  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_60  |                                 0*cm 0*cm -8.4*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_61  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_61  |                               0*cm 0*cm -8.176*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_62  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_62  |                               0*cm 0*cm -7.952*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_63  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_63  |                               0*cm 0*cm -7.728*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_64  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_64  |                               0*cm 0*cm -7.504*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_65  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_65  |                                0*cm 0*cm -7.28*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_66  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_66  |                               0*cm 0*cm -7.056*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_forwardangle_layer_67  |solid_SIDIS_ec_forwardangle_shower  |solid_SIDIS_ec_forwardangle_layer_67  |                               0*cm 0*cm -6.832*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        105*cm 235*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
